name,prompt
short_red_panda,A red panda reads.
medium_red_panda,A red panda reads a book beside a window.
long_red_panda,"A curious red panda reads a small book beside a sunlit forest window, with warm morning light and detailed fur."
fox_snow,"A cinematic red fox walks slowly through gentle snowfall in a quiet winter forest."
astronaut,"An astronaut in a white spacesuit walks across a red Martian desert, with a large planet in the sky."
two_parrots,"Two colorful parrots sit on separate branches in a tropical rainforest, one blue and one yellow."
spatial_car,"A yellow sports car is parked in front of a modern glass house beside a palm tree at sunset."
human_action,"A young woman in a pink shirt and black bucket hat holds a spoon and makes a playful face in a lush garden."
northern_lights,"A small wooden cabin stands beside a still mountain lake under the northern lights at night."
fantasy_castle,"A grand fantasy castle rises above a misty valley, surrounded by flying birds and dramatic sunrise clouds."
chef_kitchen,"In a bright modern kitchen, a chef flips colorful vegetables in a pan while steam rises beside a sunlit window."
surfer_wave,"A surfer rides a tall turquoise wave as sea spray catches the afternoon sunlight."
woman_bicycle,"A woman wearing a yellow raincoat rides a bicycle across a wet city street at night."
child_dog,"A child throws a red ball for a golden retriever running through a field of wildflowers."
robot_market,"A small friendly robot carries a basket of oranges through a crowded outdoor market."
owl_library,"A snowy owl sits on an old stack of books inside a warm wooden library."
train_bridge,"A red train crosses a stone bridge above a green river valley at sunrise."
balloons_city,"Three colorful hot-air balloons float above a historic city with tiled roofs."
spacecraft_mars,"A hyper-realistic spacecraft lands on Mars while dust billows around its engines."
violinist_stage,"A violinist in a black suit performs alone on a theater stage under a warm spotlight."
